FTC String,Code
Kerala-Sikkim,621
Kerala-Tamil Nadu,150
Kerala-Telangana,569
Kerala-Uttar Pradesh,418
Kerala-Uttarakhand,689
Kerala-West Bengal,466
Ladakh-Andaman and Nicobar Islands,803
Ladakh-Andhra Pradesh,804
Ladakh-Arunachal Pradesh,805
Ladakh-Assam,806
Ladakh-Bihar,807
Ladakh-Chandigarh,808
Ladakh-Chhattisgarh,809
Ladakh-Dadra and Nagar Haveli and Daman and Diu,810
Ladakh-Delhi,812
Ladakh-Goa,813
Ladakh-Gujarat,814
Ladakh-Haryana,815
Ladakh-Himachal Pradesh,816
Ladakh-Jammu and Kashmir,817
Ladakh-Jharkhand,818
Ladakh-Karnataka,883
Ladakh-Kerala,820
Ladakh-Ladakh,837
Ladakh-Ladakh_SEZ,838
Ladakh-Lakshadweep,821
Ladakh-Madhya Pradesh,822
Ladakh-Maharashtra,823
Ladakh-Manipur,824
Ladakh-Meg,819
Ladakh-Meghalaya,884
Ladakh-Mizoram,885
Ladakh-Nagaland,825
Ladakh-Orissa,826
Ladakh-Pondicherry,827
Ladakh-Punjab,828
Ladakh-Rajasthan,829
Ladakh-Sikkim,830
Ladakh-Tamil Nadu,831
Ladakh-Telangana,832
Ladakh-Tripura,833
Ladakh-Uttar Pradesh,834
Ladakh-Uttarakhand,835
Ladakh-West Bengal,836
Lakshadweep-Haryana,719
Lakshadweep-Karnataka,152
Lakshadweep-Ladakh,865
Lakshadweep-Lakshadweep,331
Lakshadweep-Lakshadweep_SEZ,312
Lakshadweep-Maharashtra,696
Lakshadweep-Telangana,728
Madhya Pradesh-Andaman and Nicobar Islands,559
Madhya Pradesh-Andhra Pradesh,153
Madhya Pradesh-Assam,457
Madhya Pradesh-Bihar,427
Madhya Pradesh-Chhattisgarh,154
Madhya Pradesh-Daman,518
Madhya Pradesh-Delhi,155
Madhya Pradesh-Gujarat,157
Madhya Pradesh-Haryana,394
Madhya Pradesh-Himachal Pradesh,158
Madhya Pradesh-Jammu and Kashmir,642
Madhya Pradesh-Jharkhand,474
Madhya Pradesh-Karnataka,159
Madhya Pradesh-Kerala,544
Madhya Pradesh-Ladakh,866
Madhya Pradesh-Madhya Pradesh,160
Madhya Pradesh-Madhya Pradesh_SEZ,313
Madhya Pradesh-Maharashtra,161
Madhya Pradesh-Meghalaya,450
Madhya Pradesh-Orissa,483
Madhya Pradesh-Punjab,156
Madhya Pradesh-Rajasthan,162
Madhya Pradesh-Tamil Nadu,163
Madhya Pradesh-Telangana,164
Madhya Pradesh-Tripura,446
Madhya Pradesh-Uttar Pradesh,165
Madhya Pradesh-Uttarakhand,359
Madhya Pradesh-West Bengal,465
Maharashtra-Andaman and Nicobar Islands,166
Maharashtra-Andhra Pradesh,167
Maharashtra-Arunachal Pradesh,168
Maharashtra-Assam,169
Maharashtra-Bihar,170
Maharashtra-Chandigarh,171
Maharashtra-Chhattisgarh,172
Maharashtra-Dadra and Nagar Haveli,173
Maharashtra-Daman and Diu,174
Maharashtra-Delhi,175
Maharashtra-Goa,176
Maharashtra-Gujarat,177
Maharashtra-Haryana,178
Maharashtra-Himachal Pradesh,179
Maharashtra-Jammu and Kashmir,180
Maharashtra-Jharkhand,181
Maharashtra-Karnataka,182
Maharashtra-Kerala,183
Maharashtra-Ladakh,867
Maharashtra-Maharashtra_SEZ,314
Maharashtra-Meghalaya,188
Maharashtra-Mizoram,189
Maharashtra-Nagaland,190
Maharashtra-Orissa,191
Maharashtra-Pondicherry,192
Maharashtra-Punjab,193
Maharashtra-Rajasthan,194
Maharashtra-Sikkim,195
Maharashtra-Tamil Nadu,196
Maharashtra-Telangana,197
Maharashtra-Tripura,198
Maharashtra-Uttar Pradesh,199
Maharashtra-Uttarakhand,200
Maharashtra-West Bengal,201
Manipur-Assam,715
Manipur-Delhi,746
Manipur-Gujarat,704
Manipur-Haryana,685
Manipur-Karnataka,617
Manipur-Ladakh,868
Manipur-Maharashtra,676
Manipur-Manipur,340
Manipur-Manipur_SEZ,315
Manipur-Tamil Nadu,678
Manipur-Telangana,841
Manipur-Tripura,782
Manipur-Uttar Pradesh,655
Manipur-West Bengal,202
Meghalaya-Arunachalpradesh,789
Meghalaya-Assam,673
Meghalaya-Chhattisgarh,667
Meghalaya-Delhi,745
Meghalaya-Gujarat,596
Meghalaya-Haryana,649
Meghalaya-Karnataka,600
Meghalaya-Kerala,733
Meghalaya-Ladakh,869
Meghalaya-Madhya Pradesh,710
Meghalaya-Maharashtra,592
Meghalaya-Meghalaya,338
Meghalaya-Meghalaya_SEZ,316
Meghalaya-Rajasthan,610
Meghalaya-Tamil Nadu,694
Meghalaya-Telangana,842
Meghalaya-Uttar Pradesh,607
Meghalaya-West Bengal,203
Mizoram-Assam,714
Mizoram-Delhi,757
Mizoram-Haryana,651
Mizoram-Karnataka,708
Mizoram-Ladakh,870
Mizoram-Maharashtra,686
Mizoram-Mizoram,337
Mizoram-Mizoram_SEZ,317
Mizoram-Nagaland,345
Mizoram-Tamil Nadu,795
Mizoram-Telangana,839
Mizoram-Tripura,731
Mizoram-West Bengal,204
Nagaland-Assam,672
Nagaland-Delhi,419
Nagaland-Gujarat,717
Nagaland-Haryana,632
Nagaland-Karnataka,618
Nagaland-Kerala,734
Nagaland-Ladakh,871
Nagaland-Madhya Pradesh,626
Nagaland-Maharashtra,687
Nagaland-Nagaland,339
Nagaland-Nagaland_SEZ,318
Nagaland-Rajasthan,608
Nagaland-Tamil Nadu,738
Nagaland-Uttar Pradesh,654
Nagaland-West Bengal,205
Orissa-Andhra Pradesh,576
Orissa-Arunachal Pradesh,434
Orissa-Assam,206
Orissa-Bihar,425
Orissa-Chhattisgarh,493
Orissa-Delhi,208
Orissa-Gujarat,207
Orissa-Haryana,392
Orissa-Himachal Pradesh,593
Orissa-Jammu and Kashmir,662
Orissa-Jharkhand,472
Orissa-Karnataka,209
Orissa-Kerala,542
Orissa-Ladakh,872
Orissa-Madhya Pradesh,503
Orissa-Maharashtra,523
Orissa-Orissa,211
Orissa-Orissa_SEZ,319
Orissa-Punjab,383
Orissa-Rajasthan,408
Orissa-Tamil Nadu,555
Orissa-Telangana,567
Orissa-Tripura,445
Orissa-Uttar Pradesh,416
Orissa-West Bengal,210
Pondicherry-Chhattisgarh,713
Pondicherry-Delhi,401
Pondicherry-Gujarat,516
Pondicherry-Haryana,749
Pondicherry-Karnataka,212
Pondicherry-Kerala,770
Pondicherry-Ladakh,873
Pondicherry-Maharashtra,525
Pondicherry-Pondicherry,342
Pondicherry-Pondicherry_SEZ,320
Pondicherry-Punjab,675
Pondicherry-Tamil Nadu,557
Pondicherry-Uttar Pradesh,631
Punjab-Andhra Pradesh,571
Punjab-Assam,451
Punjab-Bihar,421
Punjab-Chandigarh,213
Punjab-Chhattisgarh,488
Punjab-Delhi,214
Punjab-Goa,534
Punjab-Gujarat,508
Punjab-Haryana,215
Punjab-Himachal Pradesh,216
Punjab-Jammu and Kashmir,217
Punjab-Jharkhand,218
Punjab-Karnataka,527
Punjab-Kerala,536
Punjab-Ladakh,874
Punjab-Madhya Pradesh,498
Punjab-Maharashtra,219
Punjab-Nagaland,436
Punjab-Orissa,479
Punjab-Punjab,220
Punjab-Punjab_SEZ,321
Punjab-Rajasthan,403
Punjab-Tamil Nadu,548
Punjab-Telangana,562
Punjab-Tripura,351
Punjab-Uttar Pradesh,221
Punjab-Uttarakhand,222
Punjab-West Bengal,223
Rajasthan-Andhra Pradesh,573
Rajasthan-Assam,452
Rajasthan-Bihar,422
Rajasthan-Chandigarh,764
Rajasthan-Chhattisgarh,490
Rajasthan-Delhi,225
Rajasthan-Gujarat,224
Rajasthan-Haryana,227
Rajasthan-Jharkhand,469
Rajasthan-Karnataka,529
Rajasthan-Kerala,226
Rajasthan-Ladakh,875
Rajasthan-Madhya Pradesh,499
Rajasthan-Maharashtra,228
Rajasthan-Nagaland,437
Rajasthan-Orissa,480
Rajasthan-Punjab,380
Rajasthan-Rajasthan,229
Rajasthan-Rajasthan_SEZ,322
Rajasthan-Sikkim,432
Rajasthan-Tamil Nadu,550
Rajasthan-Telangana,563
Rajasthan-Tripura,443
Rajasthan-Uttar Pradesh,230
Rajasthan-Uttarakhand,231
Rajasthan-West Bengal,462
Sikkim-Assam,791
Sikkim-Delhi,712
Sikkim-Gujarat,739
Sikkim-Haryana,551
Sikkim-Jharkhand,711
Sikkim-Ladakh,876
Sikkim-Maharashtra,681
Sikkim-Meghalaya,589
Sikkim-Sikkim,341
Sikkim-Sikkim_SEZ,323
Sikkim-Telangana,840
Sikkim-Uttar Pradesh,699
Sikkim-West Bengal,232
Tamil Nadu-Andaman and Nicobar Islands,801
Tamil Nadu-Andhra Pradesh,580
Tamil Nadu-Arunachal Pradesh,233
Tamil Nadu-Assam,460
Tamil Nadu-Bihar,430
Tamil Nadu-Chandigarh,234
Tamil Nadu-Chhattisgarh,495
Tamil Nadu-Dadra and Nagar Haveli,784
Tamil Nadu-Delhi,235
Tamil Nadu-Goa,700
Tamil Nadu-Gujarat,515
Tamil Nadu-Haryana,236
Tamil Nadu-Himachal Pradesh,377
Tamil Nadu-Jammu and Kashmir,638
Tamil Nadu-Jharkhand,477
Tamil Nadu-Karnataka,237
Tamil Nadu-Kerala,238
Tamil Nadu-Ladakh,877
Tamil Nadu-Madhya Pradesh,344
Tamil Nadu-Maharashtra,239
Tamil Nadu-Manipur,442
Tamil Nadu-Orissa,486
Tamil Nadu-Pondicherry,240
Tamil Nadu-Punjab,384
Tamil Nadu-Rajasthan,411
Tamil Nadu-Tamil Nadu,241
Tamil Nadu-Tamil Nadu_SEZ,324
Tamil Nadu-Telangana,570
Tamil Nadu-Tripura,352
Tamil Nadu-Uttar Pradesh,353
Tamil Nadu-Uttarakhand,362
Tamil Nadu-West Bengal,467
Telangana-Andhra Pradesh,242
Telangana-Arunachal Pradesh,435
Telangana-Assam,461
Telangana-Bihar,431
Telangana-Chhattisgarh,496
Telangana-Daman and Diu,751
Telangana-Delhi,402
Telangana-Goa,775
Telangana-Gujarat,517
Telangana-Haryana,396
Telangana-Himachal Pradesh,378
Telangana-Jammu and Kashmir,658
Telangana-Jharkhand,478
Telangana-Karnataka,243
Telangana-Kerala,546
Telangana-Ladakh,878
Telangana-Lakshadweep,535
Telangana-Madhya Pradesh,507
Telangana-Maharashtra,244
Telangana-Manipur,844
Telangana-Meghalaya,846
Telangana-Mizoram,843
Telangana-Orissa,487
Telangana-Punjab,385
Telangana-Rajasthan,412
Telangana-Sikkim,845
Telangana-Tamil Nadu,245
Telangana-Telangana,246
Telangana-Telangana_SEZ,325
Telangana-Uttar Pradesh,420
Telangana-Uttarakhand,363
Telangana-West Bengal,468
Tripura-Assam,619
Tripura-Delhi,582
Tripura-Gujarat,643
Tripura-Haryana,666
Tripura-Karnataka,691
Tripura-Ladakh,879
Tripura-Maharashtra,663
Tripura-Meghalaya,616
Tripura-Orissa,730
Tripura-Punjab,683
Tripura-Rajasthan,612
Tripura-Tamil Nadu,693
Tripura-Telangana,716
Tripura-Tripura,336
Tripura-Tripura_SEZ,326
Tripura-Uttar Pradesh,682
Tripura-West Bengal,247
Uttar Pradesh-Andhra Pradesh,574
Uttar Pradesh-Arunachal Pradesh,798
Uttar Pradesh-Assam,453
Uttar Pradesh-Bihar,423
Uttar Pradesh-Chandigarh,768
Uttar Pradesh-Chhattisgarh,248
Uttar Pradesh-Delhi,249
Uttar Pradesh-Goa,753
Uttar Pradesh-Gujarat,510
Uttar Pradesh-Haryana,388
Uttar Pradesh-Himachal Pradesh,374
Uttar Pradesh-Jammu and Kashmir,590
Uttar Pradesh-Jharkhand,470
Uttar Pradesh-Karnataka,250
Uttar Pradesh-Kerala,538
Uttar Pradesh-Ladakh,880
Uttar Pradesh-Madhya Pradesh,500
Uttar Pradesh-Maharashtra,251
Uttar Pradesh-Manipur,439
Uttar Pradesh-Orissa,252
Uttar Pradesh-Punjab,381
Uttar Pradesh-Rajasthan,404
Uttar Pradesh-Tamil Nadu,347
Uttar Pradesh-Telangana,564
Uttar Pradesh-Uttar Pradesh,253
Uttar Pradesh-Uttar Pradesh_SEZ,327
Uttar Pradesh-Uttarakhand,254
Uttar Pradesh-West Bengal,463
Uttarakhand-Andhra Pradesh,648
Uttarakhand-Arunachal Pradesh,797
Uttarakhand-Bihar,586
Uttarakhand-Chhattisgarh,346
Uttarakhand-Delhi,257
Uttarakhand-Gujarat,367
Uttarakhand-Haryana,255
Uttarakhand-Himachal Pradesh,726
Uttarakhand-Jammu and Kashmir,661
Uttarakhand-Jharkhand,674
Uttarakhand-Karnataka,369
Uttarakhand-Kerala,370
Uttarakhand-Ladakh,881
Uttarakhand-Madhya Pradesh,634
Uttarakhand-Maharashtra,368
Uttarakhand-Punjab,354
Uttarakhand-Rajasthan,364
Uttarakhand-Tamil Nadu,677
Uttarakhand-Telangana,371
Uttarakhand-Uttar Pradesh,365
Uttarakhand-Uttarakhand,256
Uttarakhand-Uttarakhand_SEZ,328
Uttarakhand-West Bengal,366
West Bengal-Andaman and Nicobar Islands,258
West Bengal-Andhra Pradesh,259
West Bengal-Arunachal Pradesh,260
West Bengal-Assam,261
West Bengal-Bihar,262
West Bengal-Chandigarh,263
West Bengal-Chhattisgarh,264
West Bengal-Dadra and Nagar Haveli,265
West Bengal-Daman and Diu,266
West Bengal-Delhi,267
West Bengal-Goa,268
West Bengal-Gujarat,269
West Bengal-Haryana,270
West Bengal-Himachal Pradesh,271
West Bengal-Jammu and Kashmir,272
West Bengal-Jharkhand,273
West Bengal-Karnataka,274
West Bengal-Kerala,275
West Bengal-Ladakh,882
West Bengal-Lakshadweep,276
West Bengal-Madhya Pradesh,277
West Bengal-Maharashtra,278
West Bengal-Manipur,279
West Bengal-Meghalaya,280
West Bengal-Mizoram,281
West Bengal-Nagaland,282
West Bengal-Orissa,283
West Bengal-Pondicherry,284
West Bengal-Punjab,285
West Bengal-Rajasthan,286
West Bengal-Sikkim,287
West Bengal-Tamil Nadu,288
West Bengal-Telangana,289
West Bengal-Tripura,290
West Bengal-Uttar Pradesh,291
West Bengal-Uttarakhand,292
West Bengal-West Bengal,293
West Bengal-West Bengal_SEZ,329